GCF_000898195.1	GCA_002220285.1	Bacillus cereus
GCF_000898195.1	GCA_000832845.1	Bacillus cereus
GCF_000898195.1	GCA_006094295.1	Bacillus cereus
GCF_000898195.1	GCA_000283675.1	Bacillus cereus
GCF_001745535.1	GCA_000743815.1	Bacillus cereus
GCF_001745535.1	GCA_002220285.1	Bacillus cereus
GCF_001745535.1	GCA_000832845.1	Bacillus cereus
GCF_001745535.1	GCA_006094295.1	Bacillus cereus
GCF_001745535.1	GCA_000283675.1	Bacillus cereus
GCF_001041155.1	GCA_000743815.1	Bacillus cereus
GCF_001041155.1	GCA_002220285.1	Bacillus cereus
GCF_001041155.1	GCA_000832845.1	Bacillus cereus
GCF_001041155.1	GCA_006094295.1	Bacillus cereus
GCF_001041155.1	GCA_000283675.1	Bacillus cereus
GCF_002622645.1	GCA_000743815.1	Bacillus cereus
GCF_002622645.1	GCA_002220285.1	Bacillus cereus
GCF_002622645.1	GCA_000832845.1	Bacillus cereus
GCF_002622645.1	GCA_006094295.1	Bacillus cereus
GCF_002622645.1	GCA_000283675.1	Bacillus cereus
GCF_002149545.1	GCA_000743815.1	Bacillus cereus
GCF_002149545.1	GCA_002220285.1	Bacillus cereus
GCF_002149545.1	GCA_000832845.1	Bacillus cereus
GCF_002149545.1	GCA_006094295.1	Bacillus cereus
GCF_002149545.1	GCA_000283675.1	Bacillus cereus
GCF_002627325.1	GCA_000743815.1	Bacillus cereus
GCF_002627325.1	GCA_002220285.1	Bacillus cereus
GCF_002627325.1	GCA_000832845.1	Bacillus cereus
GCF_002627325.1	GCA_006094295.1	Bacillus cereus
GCF_002627325.1	GCA_000283675.1	Bacillus cereus
GCF_000898735.1	GCA_000743815.1	Bacillus cereus
GCF_000898735.1	GCA_002220285.1	Bacillus cereus
GCF_000898735.1	GCA_000832845.1	Bacillus cereus
GCF_000898735.1	GCA_006094295.1	Bacillus cereus
GCF_000898735.1	GCA_000283675.1	Bacillus cereus
GCF_002149765.1	GCA_000743815.1	Bacillus cereus
GCF_002149765.1	GCA_002220285.1	Bacillus cereus
GCF_002149765.1	GCA_000832845.1	Bacillus cereus
GCF_002149765.1	GCA_006094295.1	Bacillus cereus
GCF_002149765.1	GCA_000283675.1	Bacillus cereus
GCF_002623485.1	GCA_000743815.1	Bacillus cereus
GCF_002623485.1	GCA_002220285.1	Bacillus cereus
GCF_002623485.1	GCA_000832845.1	Bacillus cereus
GCF_002623485.1	GCA_006094295.1	Bacillus cereus
GCF_002623485.1	GCA_000283675.1	Bacillus cereus
GCF_001500675.1	GCA_000743815.1	Bacillus cereus
GCF_001500675.1	GCA_002220285.1	Bacillus cereus
GCF_001500675.1	GCA_000832845.1	Bacillus cereus
GCF_001500675.1	GCA_006094295.1	Bacillus cereus
GCF_001500675.1	GCA_000283675.1	Bacillus cereus
GCF_002602065.1	GCA_000743815.1	Bacillus cereus
GCF_002602065.1	GCA_002220285.1	Bacillus cereus
GCF_002602065.1	GCA_000832845.1	Bacillus cereus
GCF_002602065.1	GCA_006094295.1	Bacillus cereus
GCF_002602065.1	GCA_000283675.1	Bacillus cereus
GCF_001505855.1	GCA_000743815.1	Bacillus cereus
GCF_001505855.1	GCA_002220285.1	Bacillus cereus
GCF_001505855.1	GCA_000832845.1	Bacillus cereus
GCF_001505855.1	GCA_006094295.1	Bacillus cereus
GCF_001505855.1	GCA_000283675.1	Bacillus cereus
GCF_000906215.1	GCA_000743815.1	Bacillus cereus
GCF_000906215.1	GCA_002220285.1	Bacillus cereus
GCF_000906215.1	GCA_000832845.1	Bacillus cereus
GCF_000906215.1	GCA_006094295.1	Bacillus cereus
GCF_000906215.1	GCA_000283675.1	Bacillus cereus
GCF_000867025.1	GCA_000743815.1	Bacillus cereus
GCF_000867025.1	GCA_002220285.1	Bacillus cereus
GCF_000867025.1	GCA_000832845.1	Bacillus cereus
GCF_000867025.1	GCA_006094295.1	Bacillus cereus
GCF_000867025.1	GCA_000283675.1	Bacillus cereus
GCF_002610955.1	GCA_000743815.1	Bacillus cereus
GCF_002610955.1	GCA_002220285.1	Bacillus cereus
GCF_002610955.1	GCA_000832845.1	Bacillus cereus
GCF_002610955.1	GCA_006094295.1	Bacillus cereus
GCF_002610955.1	GCA_000283675.1	Bacillus cereus
GCF_003329545.1	GCA_000743815.1	Bacillus cereus
GCF_003329545.1	GCA_002220285.1	Bacillus cereus
GCF_003329545.1	GCA_000832845.1	Bacillus cereus
GCF_003329545.1	GCA_006094295.1	Bacillus cereus
GCF_003329545.1	GCA_000283675.1	Bacillus cereus
GCF_001746175.1	GCA_000743815.1	Bacillus cereus
GCF_001746175.1	GCA_002220285.1	Bacillus cereus
GCF_001746175.1	GCA_000832845.1	Bacillus cereus
GCF_001746175.1	GCA_006094295.1	Bacillus cereus
GCF_001746175.1	GCA_000283675.1	Bacillus cereus
GCF_001041555.1	GCA_000743815.1	Bacillus cereus
GCF_001041555.1	GCA_002220285.1	Bacillus cereus
GCF_001041555.1	GCA_000832845.1	Bacillus cereus
GCF_001041555.1	GCA_006094295.1	Bacillus cereus
GCF_001041555.1	GCA_000283675.1	Bacillus cereus
GCF_001504395.1	GCA_000743815.1	Bacillus cereus
GCF_001504395.1	GCA_002220285.1	Bacillus cereus
GCF_001504395.1	GCA_000832845.1	Bacillus cereus
GCF_001504395.1	GCA_006094295.1	Bacillus cereus
GCF_001504395.1	GCA_000283675.1	Bacillus cereus
GCF_000899475.1	GCA_000743815.1	Bacillus cereus
GCF_000899475.1	GCA_002220285.1	Bacillus cereus
GCF_000899475.1	GCA_000832845.1	Bacillus cereus
GCF_000899475.1	GCA_006094295.1	Bacillus cereus
GCF_000899475.1	GCA_000283675.1	Bacillus cereus
GCF_002614325.1	GCA_000743815.1	Bacillus cereus
GCF_002614325.1	GCA_002220285.1	Bacillus cereus
GCF_002614325.1	GCA_000832845.1	Bacillus cereus
GCF_002614325.1	GCA_006094295.1	Bacillus cereus
GCF_002614325.1	GCA_000283675.1	Bacillus cereus
GCF_000900195.1	GCA_000743815.1	Bacillus cereus
GCF_000900195.1	GCA_002220285.1	Bacillus cereus
GCF_000900195.1	GCA_000832845.1	Bacillus cereus
GCF_000900195.1	GCA_006094295.1	Bacillus cereus
GCF_000900195.1	GCA_000283675.1	Bacillus cereus
GCF_000897755.1	GCA_000743815.1	Bacillus cereus
GCF_000897755.1	GCA_002220285.1	Bacillus cereus
GCF_000897755.1	GCA_000832845.1	Bacillus cereus
GCF_000897755.1	GCA_006094295.1	Bacillus cereus
GCF_000897755.1	GCA_000283675.1	Bacillus cereus
GCF_001505535.1	GCA_000743815.1	Bacillus cereus
GCF_001505535.1	GCA_002220285.1	Bacillus cereus
GCF_001505535.1	GCA_000832845.1	Bacillus cereus
GCF_001505535.1	GCA_006094295.1	Bacillus cereus
